%"freq
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
4.819 GHz,0.226 / -112.120 ,0.262 / -49.439 ,0.262 / -49.439 ,0.251 / 74.858 
4.820 GHz,0.225 / -112.244 ,0.254 / -48.889 ,0.254 / -48.889 ,0.251 / 73.747 
4.826 GHz,0.221 / -112.740 ,0.219 / -44.531 ,0.219 / -44.531 ,0.249 / 68.329 
4.833 GHz,0.218 / -113.094 ,0.190 / -36.915 ,0.190 / -36.915 ,0.246 / 63.143 
4.839 GHz,0.216 / -113.393 ,0.172 / -25.791 ,0.172 / -25.791 ,0.243 / 58.180 
4.846 GHz,0.215 / -113.720 ,0.170 / -12.638 ,0.170 / -12.638 ,0.239 / 53.421 
4.852 GHz,0.215 / -114.152 ,0.183 / -0.536 ,0.183 / -0.536 ,0.235 / 48.845 
4.859 GHz,0.216 / -114.764 ,0.210 / 8.277 ,0.210 / 8.277 ,0.231 / 44.428 
4.865 GHz,0.217 / -115.626 ,0.244 / 13.566 ,0.244 / 13.566 ,0.227 / 40.153 
4.871 GHz,0.219 / -116.792 ,0.284 / 16.089 ,0.284 / 16.089 ,0.223 / 36.003 
4.878 GHz,0.221 / -118.358 ,0.327 / 16.678 ,0.327 / 16.678 ,0.218 / 31.797 
4.885 GHz,0.222 / -120.284 ,0.371 / 15.896 ,0.371 / 15.896 ,0.214 / 27.691 
